px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	0	0.0287602	0	8.46292	0.243462	8.6	0.25	-3.00029	0	1.97626e-323	R
8.4485	0.251375	-0.000707693	0.0287602	1.38778e-17	8.44818	0.251553	8.45	0.25	-3.00027	0	0.000275967	L
8.47145	0.248796	-0.0055306	0.0287632	2.81727e-07	8.56759	0.241943	8.45	0.25	0	0	0.12598	R
8.46434	0.250973	-0.00835544	0.0287379	-3.20039e-06	8.45582	0.253997	8.45	0.25	0	0	0.00655465	L
8.37672	0.248991	-0.898916	0.0287599	3.75061e-06	8.42544	0.254042	8.35	0.25	-1.81979	0	19.7935	R
8.3126	0.248328	-0.919853	0.0249564	-0.000905594	8.23962	0.24916	8.25	0.25	-1.81978	0	0.348996	L
8.10935	0.235122	-1.32788	0.0861515	0.0164432	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	29.7946	R
8.01153	0.20467	-1.37406	0.230526	0.0567525	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	1.90273	L
7.83069	0.314317	-1.68735	-1.00408	-0.445743	7.61269	0.155818	7.7	0.15	-2.99982	0	19.0633	R
7.71603	0.250508	-1.7438	-0.357501	-0.19185	7.54016	0.159641	7.55	0.15	-2.99982	0	2.84689	L
7.582	0.153896	-1.81845	0.26296	0.156449	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	1.4134	R
7.46391	0.0889102	-1.83129	0.392748	0.185758	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	1.04559	L
7.31464	0.192495	-2.07388	-0.165244	-0.580211	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	8.05713	R
7.17523	0.108911	-2.11619	0.0141468	-0.45426	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	2.73601	L
7.06499	0.0538921	-2.06105	0.0860186	-0.391518	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	3.42018	R
6.93667	-0.0812056	-2.09049	0.308859	-0.0740877	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	2.81364	L
6.82612	-0.152224	-2.13069	0.356101	-0.0595874	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	1.62607	R
6.71786	-0.288499	-2.17628	0.531243	0.206724	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	2.40736	L
6.67066	-0.479253	-2.15957	0.941983	1.13377	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	4.40383	R
6.60477	-0.589138	-2.18085	1.02636	1.16064	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.330862	L
6.5658	-0.745344	-2.21948	1.23738	1.46415	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	1.23189	R
6.52109	-0.897838	-2.25991	1.33603	1.44334	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	1.52178	L
6.40874	-0.973036	-2.19412	1.10724	0.756933	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	8.2492	R
6.33969	-1.1098	-2.23649	1.14456	0.716447	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	1.43679	L
6.44921	-1.31406	-2.31512	1.61976	1.55901	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	30.0083	R
6.44259	-1.47555	-2.36874	1.69838	1.52055	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	2.08539	L
6.37527	-1.57478	-2.26753	1.56226	1.11123	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	11.5756	R
6.34957	-1.73008	-2.33258	1.59495	1.05454	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	3.18023	L
6.40782	-1.88735	-2.43837	1.77479	1.26813	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	7.98009	R
6.41443	-2.04331	-2.49465	1.81709	1.22546	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	2.2886	L
6.39974	-2.18528	-2.46255	1.7956	1.07589	6.32593	-2.40018	6.35	-2.4	0	-2.72613	4.44997	R
6.4097	-2.35668	-2.51974	1.8279	1.03216	6.34927	-2.55175	6.35	-2.55	0	-2.72611	2.27069	L
6.45822	-2.51416	-2.5792	1.9053	1.0655	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	1.85234	R
6.48549	-2.68261	-2.62696	1.93718	1.02861	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	1.5721	L
6.49427	-2.81534	-2.59633	1.93072	0.941282	6.46536	-3.00452	6.45	-3	0	-2.99754	3.03869	R
6.5131	-2.97718	-2.64655	1.94388	0.899296	6.44119	-3.14955	6.45	-3.15	0	-2.99754	1.96408	L
6.56899	-3.13301	-2.69165	1.99462	0.906149	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	1.21203	R
6.60569	-3.30509	-2.73512	2.01278	0.86954	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	1.53232	L
6.68863	-3.46069	-2.80421	2.0798	0.903827	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	2.37264	R
6.75664	-3.62431	-2.83945	2.11195	0.88269	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	0.933251	L
6.81878	-3.76417	-2.81538	2.13541	0.847073	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	1.32404	R
6.88555	-3.92826	-2.84909	2.1568	0.818943	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	1.00348	L
6.94675	-4.06307	-2.81322	2.17364	0.780613	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	1.62265	R
7.00785	-4.22605	-2.84116	2.18394	0.745899	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	1.09351	L
7.0501	-4.34478	-2.72599	2.1785	0.676083	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	9.15982	R
7.11229	-4.48946	-2.7375	2.19101	0.650629	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	0.533651	L
7.17899	-4.61168	-2.69817	2.20682	0.623151	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	1.23159	R
7.23561	-4.76484	-2.71564	2.20664	0.587277	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	1.04213	L
7.33991	-4.90555	-2.78745	2.24524	0.602282	7.31379	-5.05204	7.25	-5	1.81907	-2.72861	2.51848	R
7.40147	-5.05989	-2.80225	2.24179	0.564223	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	1.12155	L
7.47396	-5.1826	-2.76746	2.25321	0.539684	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	1.16856	R
7.53558	-5.34093	-2.78537	2.24361	0.498383	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	1.25391	L
7.62212	-5.46659	-2.77315	2.25962	0.483908	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.512968	R
7.69846	-5.60653	-2.78164	2.26294	0.459504	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0.414101	L
7.77319	-5.72239	-2.73945	2.27139	0.438171	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	1.24506	R
7.83427	-5.87188	-2.74787	2.25791	0.398975	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	1.03805	L
7.94977	-6.00366	-2.86827	2.2911	0.424333	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	8.13036	R
8.01776	-6.14586	-2.88231	2.27994	0.390248	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0.814135	L
