px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.312243	0.58034	0	1.07719	0	0.312243	0.58034	0.6	0.6	5.19994	0	9.04472e-318	L
0.326229	0.263055	4.48483	1.07719	-4.12854e-17	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	22.7097	R
1.13896	0.495795	4.48504	0.861974	-0.0200601	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	1.14985	L
1.27474	0.528815	4.51063	0.244143	-0.123052	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	2.3751	R
1.54284	0.612507	4.52872	0.23544	-0.122558	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.951811	L
1.78887	0.570521	4.94626	0.0360459	-0.0791036	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	6.36255	R
2.0795	0.603207	4.97067	0.043083	-0.053789	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.904961	L
2.29891	0.644115	5.02938	0.112799	0.151103	1.96701	0.557116	2.41954	0.606284	5.19573	0.0502389	1.82663	R
2.57191	0.670923	5.05404	0.106409	0.11904	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.405539	L
2.84436	0.660854	5.14932	0.0622019	-0.0120131	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.796177	R
3.08137	0.665804	5.13351	0.0521776	-0.0512827	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.314956	L
3.37311	0.561557	5.23256	-0.10991	-0.550429	3.56096	0.485311	3.45825	0.622686	5.18963	0.11818	2.7265	R
3.67963	0.452301	5.30818	-0.245467	-0.866396	3.89365	0.311793	3.71772	0.629131	5.18754	0.139576	3.86783	L
3.95906	0.549273	5.32867	-0.0670514	-0.20373	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	4.0273	R
4.23724	0.545405	5.33953	-0.0618641	-0.161653	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.348731	L
4.4983	0.584172	5.29736	-0.0159953	-0.035133	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0.971165	R
4.69124	0.698682	5.16982	0.0973674	0.214481	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	9.04209	L
4.94509	0.697465	5.12575	0.0842001	0.168071	5.20902	0.66599	5.01316	0.679804	5.1727	0.272649	1.92759	R
5.251	0.688247	5.19569	0.0628075	0.111602	5.51893	0.648233	5.27175	0.694234	5.16867	0.304413	3.93607	L
5.51061	0.694311	5.23436	0.0604772	0.0962809	5.22835	0.639362	5.53013	0.710295	5.16422	0.337868	1.55818	R
5.8097	0.704886	5.28437	0.0587189	0.0854329	6.022	0.708619	5.78828	0.728071	5.15932	0.372999	2.37057	L
6.05592	0.628831	5.21581	-0.00335551	-0.0264974	5.89392	0.373584	6.04618	0.747646	5.15393	0.409793	4.14803	R
6.31437	0.743787	5.21109	0.0750227	0.101724	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	2.95961	L
6.56535	0.778636	5.17599	0.0899671	0.117038	6.62134	0.836138	6.56111	0.792523	5.14157	0.488305	0.449771	R
6.81792	0.771757	5.16965	0.0766174	0.0884944	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.290878	L
7.06269	0.75637	5.0866	0.0594102	0.0572387	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	3.43483	R
7.28592	0.839642	5.05084	0.103544	0.114856	7.13735	0.957217	7.3309	0.875372	5.1185	0.618123	2.14823	L
7.57778	0.852396	5.15505	0.0992129	0.100708	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	4.63093	R
7.83244	0.824639	5.14927	0.074364	0.0609142	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.781482	L
8.0828	0.844374	5.09145	0.0774242	0.0604371	8.40453	0.884557	8.0968	0.978758	5.08907	0.761915	2.57823	R
8.32351	0.857904	5.07456	0.077572	0.0567795	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.314705	L
8.59069	0.950619	5.16467	0.118236	0.105776	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	6.31104	R
8.83048	1.0059	5.14607	0.136713	0.122587	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.503245	L
9.11928	1.04634	5.20177	0.143311	0.122766	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	6.88857	R
9.35911	1.07506	5.17838	0.145808	0.118351	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.593043	L
9.63736	1.15	5.2296	0.168371	0.138873	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	4.37997	R
9.91163	1.27452	5.26517	0.21329	0.186233	10.0484	1.44598	9.86254	1.31118	4.98922	1.14793	2.85042	L
10.1599	1.36748	5.20726	0.242554	0.213627	10.5377	1.72555	10.1116	1.37011	4.97074	1.2084	4.75444	R
10.387	1.44469	5.1782	0.261513	0.224382	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	1.01421	L
10.6189	1.5326	5.09084	0.286823	0.246236	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	4.12961	R
10.8471	1.55933	5.05768	0.278323	0.22056	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	1.40119	L
11.1124	1.61158	5.09711	0.277617	0.204516	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	1.9918	R
11.3933	1.65312	5.13368	0.270301	0.181966	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	2.09781	L
11.6248	1.71145	5.08481	0.276709	0.180094	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	0.942995	R
11.8563	1.77296	5.06583	0.282782	0.176591	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.353063	L
12.1115	1.86334	5.12172	0.297621	0.182191	12.136	2.14937	12.0648	1.95639	4.77598	1.73273	1.31535	R
12.3559	1.8887	5.10222	0.282773	0.152191	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0.777612	L
12.6117	1.94907	5.14506	0.282085	0.13981	12.5457	1.77728	12.5394	2.13677	4.71258	1.87338	0.933458	R
12.8123	2.08272	5.11235	0.323152	0.182812	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	3.2268	L
13.0783	2.18969	5.20315	0.338129	0.186242	13.2198	2.66441	13.0075	2.33136	4.64258	2.01701	3.40032	R
13.2819	2.33023	5.1754	0.377339	0.223898	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	2.47915	L
13.4618	2.47769	5.06331	0.424884	0.276041	12.7087	3.12439	13.4682	2.54047	4.56564	2.16317	10.8927	R
13.7118	2.59129	5.09246	0.439418	0.276628	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.859573	L
13.9314	2.7053	5.07086	0.457798	0.283879	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.215362	R
14.1602	2.85774	5.09588	0.489234	0.304925	14.2105	2.94205	14.1439	2.88179	4.43656	2.38601	0.580193	L
14.4101	2.96608	5.16172	0.489551	0.280124	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	1.48999	R
14.6179	3.03685	5.10699	0.483553	0.25621	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	2.25992	L
14.8487	3.18969	5.16659	0.506691	0.264602	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	3.77619	R
15.0558	3.38239	5.1904	0.551978	0.303806	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	1.11379	L
15.2665	3.54991	5.17646	0.585103	0.329959	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	2.53894	R
15.4801	3.73679	5.20676	0.619794	0.351848	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0.637895	L
15.6917	3.87129	5.19236	0.629583	0.342786	15.7234	3.4105	15.6356	3.80957	4.06678	2.91315	0.988952	R
15.914	4.01308	5.19777	0.638479	0.332613	15.9774	4.00094	15.8375	3.95718	4.00571	2.98817	0.23222	L
16.109	4.17799	5.1517	0.667394	0.355842	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	1.78852	R
16.3066	4.37206	5.17688	0.699129	0.372433	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.367284	L
16.5167	4.53611	5.19397	0.711726	0.363401	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.648592	R
16.6954	4.70335	5.17395	0.732141	0.366475	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.482006	L
16.8471	4.89959	5.08428	0.781622	0.422394	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	4.52369	R
17.0115	5.12344	5.11264	0.822441	0.445784	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.529495	L
17.1808	5.29563	5.08037	0.84208	0.446919	17.3421	4.64623	17.1578	5.09409	3.51797	3.50008	1.74713	R
17.3408	5.47494	5.06188	0.861935	0.444287	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.222903	L
17.4962	5.64661	5.01374	0.882618	0.448838	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	3.25734	R
17.691	5.76746	4.96556	0.868602	0.406073	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	1.93122	L
17.8332	5.96633	4.93032	0.903203	0.43273	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	1.06175	R
18.0083	6.154	4.94267	0.915003	0.420736	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.755103	L
18.1572	6.3624	4.95645	0.939466	0.424516	18.1245	6.79027	18.1403	6.20641	3.01542	3.90462	0.674653	R
18.2789	6.59833	4.97949	0.978688	0.445618	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.508293	L
18.4099	6.81326	4.97605	1.00715	0.455984	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.235603	R
18.5593	6.94852	4.89722	1.0003	0.422166	18.5422	6.76013	18.572	6.80638	2.7356	4.08866	2.21504	L
18.7088	7.15455	4.92956	1.00894	0.399449	18.8089	7.24388	18.7064	7.01237	2.63826	4.14672	0.665324	R
18.9075	7.29075	4.88604	0.984212	0.347377	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	4.08396	L
18.9946	7.49615	4.81755	1.0272	0.391769	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	4.06855	R
19.0854	7.75758	4.86541	1.07308	0.422195	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	1.146	L
19.2063	7.96488	4.86626	1.0877	0.412037	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	0.297831	R
19.2856	8.18018	4.84582	1.11875	0.424502	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	1.38269	L
19.3849	8.39092	4.84751	1.13416	0.410881	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	2.28618	R
19.4808	8.53855	4.74861	1.13731	0.39203	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	3.94243	L
19.5715	8.74793	4.72559	1.161	0.401677	19.6843	8.35902	19.5967	8.75494	1.7919	4.53956	0.572978	R
19.7344	8.92026	4.7014	1.14415	0.359325	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	4.17868	L
19.8071	9.14258	4.67914	1.17923	0.388907	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	1.02201	R
19.938	9.36665	4.70991	1.18409	0.371746	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	2.98094	L
19.9822	9.58991	4.66284	1.2316	0.421966	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	2.70971	R
20.0696	9.82875	4.6936	1.25213	0.420965	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	0.740007	L
20.1302	10.0772	4.73541	1.27816	0.420137	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	7.14034	R
20.1778	10.3489	4.79115	1.31536	0.43792	20.166	10.4687	20.0817	10.3863	0.968259	4.75666	0.891012	L
20.1929	10.5858	4.76092	1.36518	0.48428	19.6774	10.803	20.1271	10.6247	0.845742	4.77651	2.91856	R
20.2512	10.8578	4.81999	1.39153	0.485745	20.3711	11.0109	20.1663	10.864	0.722256	4.7934	2.01051	L
20.2802	11.114	4.85001	1.42029	0.486063	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	4.88151	R
20.3144	11.3523	4.84793	1.44395	0.485377	20.3164	11.3483	20.2261	11.3449	0.472738	4.81806	0.00125652	L
20.2586	11.6024	4.80827	1.52451	0.579757	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	10.5853	R
20.3306	11.842	4.8165	1.52787	0.551024	20.6141	11.9421	20.2608	11.8275	0.22044	4.83027	4.82816	L
20.3576	12.0758	4.83205	1.53033	0.499605	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	3.74502	R
20.3442	12.3619	4.89766	1.56786	0.511872	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	1.10489	L
20.2934	12.6012	4.86592	1.62838	0.574708	20.0192	12.4822	20.2653	12.5522	-0.161529	4.82451	3.16529	R
20.3187	12.8401	4.8597	1.63992	0.555995	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	1.88433	L
20.3062	13.0717	4.84112	1.6662	0.557978	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	2.10623	R
20.2711	13.2851	4.80127	1.69605	0.561099	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	1.03224	L
20.2327	13.52	4.80243	1.72174	0.552151	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	1.29899	R
20.2123	13.7781	4.83148	1.74249	0.543976	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	1.31453	L
20.1563	14.0058	4.81432	1.77945	0.563203	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72375	0.841365	R
20.101	14.2605	4.8452	1.80848	0.563419	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	0.345987	L
20.0291	14.4896	4.8416	1.83977	0.564816	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	1.37707	R
19.9204	14.7437	4.88795	1.88325	0.580206	19.781	14.773	19.9339	14.6897	-1.30687	4.62805	1.18507	L
19.8543	14.962	4.86903	1.8991	0.552768	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	3.41185	R
19.8241	15.1798	4.83117	1.90797	0.533535	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	2.18739	L
19.6908	15.3897	4.80905	1.98637	0.639433	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	7.82695	R
19.6617	15.5782	4.73055	1.99399	0.615112	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	3.66552	L
19.5683	15.7835	4.71531	2.0198	0.605413	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	1.35814	R
19.4645	15.9967	4.71816	2.04922	0.604427	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	0.0147198	L
19.3636	16.2051	4.71584	2.06369	0.569229	19.1556	16.0022	19.3257	16.255	-2.15925	4.28868	1.85226	R
19.2543	16.3826	4.67238	2.09356	0.571829	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	0.693224	L
19.1366	16.5793	4.6655	2.12319	0.574948	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	0.2744	R
19.0062	16.7893	4.6877	2.15189	0.574357	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	0.139207	L
18.8489	16.9813	4.70207	2.21248	0.643624	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	6.48933	R
